target,leaders,lag_days,support,confidence,lift,occurrences
TSLA,OR.PA ↑ AND PM ↓,2,0.034,0.625,1.76,24
TSLA,CSCO ↑ AND MRK ↓,3,0.034,0.625,1.76,24
TSLA,PYPL ↑ AND SBUX ↓,3,0.034,0.625,1.76,24
NVDA,TEAM ↑ AND TXN ↓,1,0.037,0.615,1.76,26
NVDA,ADI ↑ AND AIR.PA ↓,2,0.037,0.615,1.76,26
NVDA,HD ↑ AND KER.PA ↓,2,0.044,0.613,1.76,31
MU,GLE.PA ↑ AND MNST ↓,2,0.042,0.6,1.76,30
^VIX,PEP ↑ AND QCOM ↓,1,0.042,0.6,1.76,30
^VIX,ASML ↑ AND ORCL ↓,2,0.042,0.6,1.76,30
^VIX,MDT ↑ AND ORCL ↓,2,0.042,0.6,1.76,30
^VIX,PEP ↑ AND RNO.PA ↓,2,0.042,0.6,1.76,30
MU,AIR.PA ↑ AND XOM ↓,2,0.035,0.6,1.76,25
MU,ENGI.PA ↑ AND GE ↓,2,0.035,0.6,1.76,25
MU,GLE.PA ↑ AND LIN ↓,2,0.035,0.6,1.76,25
MU,KER.PA ↑ AND WMT ↓,3,0.035,0.6,1.76,25
^VIX,PEP ↑ AND ^NDX ↓,2,0.035,0.6,1.76,25
TSLA,ALO.PA ↑ AND MDT ↓,1,0.034,0.625,1.75,24
TSLA,COST ↑ AND OR.PA ↓,1,0.034,0.625,1.75,24
TSLA,CVS ↑ AND MDT ↓,1,0.034,0.625,1.75,24
NVDA,PYPL ↑ AND QCOM ↓,1,0.044,0.613,1.75,31
NVDA,CVS ↑ AND EDEN.PA ↓,1,0.051,0.611,1.75,36
NVDA,MO ↑ AND SU.PA ↓,1,0.051,0.611,1.75,36
NVDA,DSY.PA ↑ AND GOOGL ↓,3,0.033,0.609,1.75,23
MU,CSCO ↑ AND MRNA ↓,1,0.049,0.6,1.75,35
^VIX,BNP.PA ↑ AND TMO ↓,3,0.042,0.6,1.75,30
^VIX,CAP.PA ↑ AND MDLZ ↓,3,0.042,0.6,1.75,30
MU,SBUX ↑ AND WDAY ↓,1,0.035,0.6,1.75,25
^VIX,CRM ↑ AND MDLZ ↓,3,0.035,0.6,1.75,25
^VIX,RTX ↑ AND SU.PA ↓,3,0.035,0.6,1.75,25
TSLA,HD ↑ AND ILMN ↓,1,0.041,0.621,1.74,29
TSLA,MNST ↑ AND NKE ↓,1,0.041,0.621,1.74,29
TSLA,MU ↑ AND V ↓,1,0.041,0.621,1.74,29
TSLA,SGO.PA ↑ AND VZ ↓,2,0.041,0.621,1.74,29
TSLA,TEAM ↑ AND VZ ↓,2,0.041,0.621,1.74,29
TSLA,LRCX ↑ AND PM ↓,2,0.059,0.619,1.74,42
TSLA,CRM ↑ AND INTC ↓,2,0.048,0.618,1.74,34
TSLA,EDEN.PA ↑ AND REGN ↓,2,0.048,0.618,1.74,34
NVDA,EL.PA ↑ AND NKE ↓,1,0.032,0.609,1.74,23
NVDA,EN.PA ↑ AND MRK ↓,1,0.032,0.609,1.74,23
NVDA,VIV.PA ↑ AND ^TYX ↓,1,0.032,0.609,1.74,23
NVDA,MCD ↑ AND RNO.PA ↓,2,0.032,0.609,1.74,23
NVDA,BNP.PA ↑ AND MNST ↓,2,0.04,0.607,1.74,28
NVDA,SGO.PA ↑ AND TXN ↓,1,0.039,0.607,1.74,28
NVDA,^SP500-15 ↑ AND ^TNX ↓,1,0.039,0.607,1.74,28
NVDA,BKNG ↑ AND VZ ↓,2,0.047,0.606,1.74,33
TSLA,CA.PA ↑ AND CMCSA ↓,2,0.037,0.615,1.73,26
TSLA,RNO.PA ↑ AND VZ ↓,2,0.037,0.615,1.73,26
TSLA,ALO.PA ↑ AND MSFT ↓,3,0.037,0.615,1.73,26
TSLA,CVS ↑ AND FISV ↓,3,0.037,0.615,1.73,26
TSLA,MU ↑ AND TMO ↓,1,0.044,0.613,1.72,31
TSLA,SU.PA ↑ AND VZ ↓,2,0.044,0.613,1.72,31
NVDA,AVGO ↑ AND CS.PA ↓,1,0.042,0.6,1.72,30
NVDA,ENGI.PA ↑ AND RMS.PA ↓,2,0.042,0.6,1.72,30
NVDA,GLE.PA ↑ AND MNST ↓,2,0.042,0.6,1.72,30
NVDA,MRNA ↑ AND VZ ↓,2,0.042,0.6,1.72,30
NVDA,ORCL ↑ AND VZ ↓,2,0.042,0.6,1.72,30
NVDA,CRM ↑ AND NKE ↓,3,0.042,0.6,1.72,30
NVDA,ACN ↑ AND GE ↓,1,0.035,0.6,1.72,25
NVDA,CVX ↑ AND ^NDX ↓,1,0.035,0.6,1.72,25
NVDA,JNJ ↑ AND ^TNX ↓,1,0.035,0.6,1.72,25
NVDA,KO ↑ AND ^TNX ↓,1,0.035,0.6,1.72,25
NVDA,MO ↑ AND TXN ↓,1,0.035,0.6,1.72,25
NVDA,PYPL ↑ AND SGO.PA ↓,1,0.035,0.6,1.72,25
NVDA,SBUX ↑ AND WDAY ↓,1,0.035,0.6,1.72,25
NVDA,QCOM ↑ AND RMS.PA ↓,3,0.035,0.6,1.72,25
TSLA,KER.PA ↑ AND WDAY ↓,1,0.051,0.611,1.71,36
TSLA,ASML ↑ AND PM ↓,2,0.058,0.61,1.71,41
TSLA,AVGO ↑ AND PM ↓,2,0.058,0.61,1.71,41
TSLA,GC=F ↑ AND PFE ↓,3,0.033,0.609,1.71,23
TSLA,ILMN ↑ AND MSFT ↓,3,0.033,0.609,1.71,23
TSLA,ACN ↑ AND VZ ↓,1,0.032,0.609,1.71,23
TSLA,AIR.PA ↑ AND PM ↓,1,0.032,0.609,1.71,23
TSLA,ALO.PA ↑ AND CAT ↓,1,0.032,0.609,1.71,23
TSLA,AMAT ↑ AND MSFT ↓,1,0.032,0.609,1.71,23
TSLA,CAT ↑ AND MCD ↓,1,0.032,0.609,1.71,23
TSLA,CVS ↑ AND PFE ↓,1,0.032,0.609,1.71,23
TSLA,EDEN.PA ↑ AND MO ↓,1,0.032,0.609,1.71,23
TSLA,LRCX ↑ AND V ↓,1,0.032,0.609,1.71,23
TSLA,BKNG ↑ AND ORA.PA ↓,2,0.032,0.609,1.71,23
TSLA,ERF.PA ↑ AND PM ↓,2,0.032,0.609,1.71,23
TSLA,ILMN ↑ AND MO ↓,2,0.032,0.609,1.71,23
TSLA,NFLX ↑ AND VZ ↓,2,0.032,0.609,1.71,23
TSLA,ACN ↑ AND INTC ↓,2,0.04,0.607,1.71,28
TSLA,DIS ↑ AND RNO.PA ↓,2,0.04,0.607,1.71,28
TSLA,ENGI.PA ↑ AND UNH ↓,2,0.04,0.607,1.71,28
TSLA,GE ↑ AND MDLZ ↓,2,0.04,0.607,1.71,28
TSLA,ALO.PA ↑ AND SAN.PA ↓,3,0.047,0.606,1.71,33
TSLA,ILMN ↑ AND ORA.PA ↓,1,0.039,0.607,1.7,28
TSLA,ALO.PA ↑ AND REGN ↓,3,0.057,0.6,1.69,40
TSLA,EDEN.PA ↑ AND UNH ↓,2,0.056,0.6,1.69,40
TSLA,QCOM ↑ AND VZ ↓,2,0.049,0.6,1.69,35
TSLA,INTC ↑ AND TMO ↓,2,0.042,0.6,1.69,30
TSLA,AIR.PA ↑ AND CMCSA ↓,2,0.035,0.6,1.69,25
TSLA,AVGO ↑ AND MMM ↓,2,0.035,0.6,1.69,25
TSLA,EDEN.PA ↑ AND KDP ↓,2,0.035,0.6,1.69,25
TSLA,MRNA ↑ AND PG ↓,2,0.035,0.6,1.69,25
TSLA,ALO.PA ↑ AND EL.PA ↓,3,0.035,0.6,1.69,25
TSLA,ALO.PA ↑ AND WMT ↓,3,0.035,0.6,1.69,25
TSLA,AAPL ↑ AND ERF.PA ↓,1,0.049,0.6,1.68,35
TSLA,ASML ↑ AND TMO ↓,1,0.042,0.6,1.68,30
TSLA,KER.PA ↑ AND SU.PA ↓,1,0.042,0.6,1.68,30
TSLA,AAPL ↑ AND DHR ↓,1,0.035,0.6,1.68,25
TSLA,ACN ↑ AND ERF.PA ↓,1,0.035,0.6,1.68,25
TSLA,CAP.PA ↑ AND CRM ↓,1,0.035,0.6,1.68,25
TSLA,GOOGL ↑ AND TMO ↓,1,0.035,0.6,1.68,25
TSLA,TEAM ↑ AND TMO ↓,1,0.035,0.6,1.68,25
